car,entered,601
car,entered,601
car,entered,601
car,entered,611
car,exited,612
car,entered,613
car,entered,614
car,entered,301
car,exited,304
car,entered,309
car,exited,310
car,entered,311
car,exited,312
car,entered,315
car,exited,316
truck,entered,319
truck,entered,320
truck,exited,323
truck,entered,324
car,entered,326
truck,exited,328
truck,exited,328
truck,entered,329
truck,entered,329
car,exited,329
car,entered,330
car,exited,333
truck,exited,336
truck,entered,338
car,entered,339
truck,exited,339
truck,exited,339
truck,entered,340
truck,entered,340
bus,entered,341
car,exited,341
car,entered,345
bus,exited,345
car,exited,348
car,entered,349
person,entered,352
car,exited,352
car,entered,354
motorbike,entered,354
truck,exited,354
truck,exited,354
truck,entered,355
truck,entered,355
car,exited,355
motorbike,exited,355
car,entered,356
motorbike,entered,356
person,exited,356
truck,exited,356
truck,exited,356
person,entered,357
truck,entered,357
truck,entered,357
car,exited,357
car,entered,358
person,exited,358
truck,exited,358
truck,exited,358
truck,entered,359
truck,entered,360
car,exited,360
motorbike,exited,360
car,entered,361
motorbike,entered,361
person,entered,361
truck,exited,361
motorbike,exited,362
motorbike,entered,363
person,exited,363
truck,exited,363
car,exited,364
car,entered,365
car,entered,366
motorbike,exited,366
car,exited,367
motorbike,entered,367
person,entered,367
car,entered,368
car,entered,368
motorbike,exited,368
car,exited,369
car,exited,369
person,exited,371
person,entered,372
car,exited,372
car,entered,373
car,entered,374
person,exited,377
person,entered,378
motorbike,entered,380
motorbike,exited,383
person,exited,383
motorbike,entered,386
person,entered,386
car,exited,387
motorbike,exited,387
person,exited,387
motorbike,entered,392
motorbike,exited,393
car,entered,394
motorbike,entered,394
motorbike,exited,396
car,entered,398
car,exited,399
car,exited,400
car,entered,401
person,entered,401
car,exited,402
person,exited,402
car,exited,405
car,entered,406
car,entered,409
motorbike,entered,409
car,exited,411
motorbike,exited,411
truck,entered,417
car,exited,418
car,entered,420
truck,entered,420
car,exited,422
car,entered,423
truck,exited,423
truck,entered,425
truck,exited,427
truck,entered,428
truck,exited,429
truck,entered,430
truck,exited,431
car,exited,435
truck,exited,443
truck,entered,444
truck,exited,446
truck,entered,449
truck,exited,450
car,entered,462
car,entered,466
car,exited,467
car,exited,467
car,entered,469
car,exited,470
car,entered,471
car,exited,472
car,entered,480
car,exited,481
car,entered,500
car,exited,501
car,entered,502
car,exited,506
car,entered,509
car,exited,521
car,entered,526
car,entered,529
car,exited,536
car,entered,537
car,entered,539
car,exited,544
car,entered,545
car,entered,553
car,exited,557
car,exited,560
skateboard,entered,561
car,entered,562
car,entered,562
skateboard,exited,562
car,entered,563
car,exited,566
car,entered,569
car,exited,570
car,exited,571
car,entered,582
car,exited,583
car,entered,591
car,entered,591
car,exited,592
car,exited,593
car,entered,596
car,exited,597
car,entered,611
car,exited,612
car,entered,613
car,entered,614
car,entered,616
car,entered,616
car,exited,618
car,exited,622
car,entered,624
car,exited,626
car,exited,626
truck,entered,626
truck,exited,627
truck,entered,629
truck,entered,629
car,entered,630
car,exited,631
car,entered,634
car,entered,637
car,exited,641
car,exited,641
car,entered,642
car,exited,644
car,exited,645
car,exited,645
car,entered,646
car,exited,647
car,entered,648
car,exited,649
car,exited,650
bus,entered,651
car,entered,651
car,entered,652
bus,exited,652
car,entered,654
car,exited,655
car,entered,657
car,entered,658
car,exited,659
car,exited,661
car,exited,663
car,entered,666
car,entered,669
car,entered,669
car,exited,670
car,entered,671
truck,exited,672
car,entered,675
car,entered,675
truck,entered,675
car,exited,676
truck,exited,676
car,exited,677
truck,entered,677
car,entered,678
truck,entered,679
car,exited,680
car,entered,681
car,exited,682
car,exited,682
truck,exited,683
car,entered,684
car,entered,684
truck,entered,684
car,exited,685
car,exited,685
truck,exited,685
car,entered,686
truck,entered,686
car,entered,687
truck,exited,687
truck,entered,688
car,exited,689
truck,entered,689
car,entered,690
truck,exited,690
car,exited,692
car,exited,692
truck,entered,692
truck,exited,694
truck,exited,696
car,exited,697
car,entered,698
car,entered,699
truck,exited,699
car,entered,702
truck,entered,702
truck,exited,703
truck,exited,704
truck,entered,705
car,exited,706
truck,exited,706
car,entered,707
truck,entered,707
car,exited,708
car,entered,709
truck,exited,709
car,exited,710
car,entered,711
truck,entered,712
truck,entered,712
truck,exited,714
car,exited,716
car,entered,718
car,entered,720
car,entered,722
car,exited,724
car,entered,728
car,exited,729
truck,exited,731
car,entered,734
car,exited,735
car,exited,735
truck,entered,735
car,entered,736
truck,exited,736
car,exited,737
truck,entered,737
car,entered,738
car,exited,739
car,entered,740
truck,entered,740
car,entered,741
truck,exited,741
truck,exited,741
car,entered,742
car,exited,744
car,exited,745
car,entered,746
truck,entered,747
car,exited,749
truck,entered,749
truck,exited,750
truck,exited,750
car,exited,752
truck,entered,754
car,exited,755
car,entered,757
truck,exited,757
car,entered,758
car,exited,759
car,exited,760
car,exited,760
car,entered,761
car,entered,762
car,exited,763
car,exited,767
car,exited,767
car,entered,768
car,entered,768
car,exited,769
car,entered,770
car,exited,772
car,entered,774
car,entered,777
car,exited,778
car,entered,780
car,exited,786
car,exited,786
car,entered,787
car,entered,787
car,entered,787
car,exited,788
car,exited,789
car,exited,789
car,entered,790
car,exited,792
car,exited,792
car,entered,794
car,entered,794
car,entered,796
car,exited,797
car,exited,797
car,entered,798
car,entered,798
car,entered,799
car,exited,800
car,entered,802
car,exited,804
car,entered,805
car,exited,806
car,exited,806
car,entered,810
car,entered,810
car,exited,811
car,exited,811
car,exited,811
car,exited,811
car,entered,812
car,entered,813
car,entered,816
car,exited,817
car,exited,817
car,entered,820
car,exited,821
car,entered,824
car,exited,827
car,entered,828
car,exited,829
car,entered,830
car,entered,830
car,exited,832
car,entered,833
car,exited,835
car,entered,836
car,exited,837
person,entered,837
car,exited,838
person,exited,838
person,entered,843
car,exited,844
person,exited,844
car,exited,845
car,entered,846
car,entered,846
car,exited,847
car,exited,847
car,exited,847
car,exited,847
car,entered,848
car,entered,848
car,entered,849
car,entered,851
motorbike,entered,852
car,exited,853
motorbike,exited,854
car,entered,855
car,entered,856
car,exited,857
car,exited,857
car,entered,858
car,entered,858
car,exited,860
car,exited,864
car,exited,864
car,entered,867
car,entered,869
car,exited,871
car,entered,872
car,exited,876
motorbike,entered,878
motorbike,exited,881
car,exited,883
motorbike,entered,884
car,entered,888
car,exited,890
car,entered,891
motorbike,exited,891
car,exited,892
motorbike,entered,901
car,exited,903
person,entered,905
car,entered,907
person,exited,907
motorbike,entered,909
person,entered,909
car,exited,910
car,entered,912
car,entered,912
car,exited,914
person,exited,916
car,entered,918
car,exited,919
car,entered,920
motorbike,exited,920
car,exited,921
car,exited,921
